Initial State,Heuristic,Expanded Nodes,Max Fringe Size,Depth,Execution Time
1 2 7 3 5 6 4 8 9 10 11 0 13 14 15 12,misplacedTiles,14,15,7,0.0
1 2 7 3 5 6 4 8 9 10 11 0 13 14 15 12,euclideanDistance,10,12,7,0.0
1 2 7 3 5 6 4 8 9 10 11 0 13 14 15 12,manhattanDistance,10,12,7,0.0
1 2 7 3 5 6 4 8 9 10 11 0 13 14 15 12,outOfRowAndColumn,10,12,7,0.0
1 0 3 4 5 2 11 8 9 7 6 12 13 10 14 15,misplacedTiles,20,31,9,0.0
1 0 3 4 5 2 11 8 9 7 6 12 13 10 14 15,euclideanDistance,12,19,9,0.0
1 0 3 4 5 2 11 8 9 7 6 12 13 10 14 15,manhattanDistance,12,19,9,0.0
1 0 3 4 5 2 11 8 9 7 6 12 13 10 14 15,outOfRowAndColumn,12,19,9,0.0
1 2 4 8 5 6 3 11 9 0 10 7 13 14 15 12,misplacedTiles,19,24,9,0.0
1 2 4 8 5 6 3 11 9 0 10 7 13 14 15 12,euclideanDistance,10,14,9,0.0
1 2 4 8 5 6 3 11 9 0 10 7 13 14 15 12,manhattanDistance,10,14,9,0.0
1 2 4 8 5 6 3 11 9 0 10 7 13 14 15 12,outOfRowAndColumn,10,14,9,0.0
1 2 8 0 5 6 7 3 9 10 15 4 13 14 12 11,misplacedTiles,121,138,13,0.008238792419433594
1 2 8 0 5 6 7 3 9 10 15 4 13 14 12 11,euclideanDistance,40,44,13,0.0
1 2 8 0 5 6 7 3 9 10 15 4 13 14 12 11,manhattanDistance,38,40,13,0.002008676528930664
1 2 8 0 5 6 7 3 9 10 15 4 13 14 12 11,outOfRowAndColumn,44,46,13,0.0019996166229248047
1 2 7 3 5 6 0 11 9 10 12 4 13 14 8 15,misplacedTiles,195,214,13,0.0
1 2 7 3 5 6 0 11 9 10 12 4 13 14 8 15,euclideanDistance,42,46,13,0.0
1 2 7 3 5 6 0 11 9 10 12 4 13 14 8 15,manhattanDistance,39,44,13,0.01562666893005371
1 2 7 3 5 6 0 11 9 10 12 4 13 14 8 15,outOfRowAndColumn,72,84,13,0.0
2 6 3 4 1 9 7 8 5 0 14 10 13 15 12 11,misplacedTiles,211,232,15,0.0
2 6 3 4 1 9 7 8 5 0 14 10 13 15 12 11,euclideanDistance,48,54,15,0.0
2 6 3 4 1 9 7 8 5 0 14 10 13 15 12 11,manhattanDistance,42,45,15,0.0
2 6 3 4 1 9 7 8 5 0 14 10 13 15 12 11,outOfRowAndColumn,42,49,15,0.0
1 2 7 3 5 6 11 4 14 0 10 15 9 13 12 8,misplacedTiles,164,174,15,0.0
1 2 7 3 5 6 11 4 14 0 10 15 9 13 12 8,euclideanDistance,38,42,15,0.0
1 2 7 3 5 6 11 4 14 0 10 15 9 13 12 8,manhattanDistance,36,40,15,0.0010464191436767578
1 2 7 3 5 6 11 4 14 0 10 15 9 13 12 8,outOfRowAndColumn,42,46,15,0.0
2 5 3 4 0 1 6 7 9 10 11 8 13 14 15 12,misplacedTiles,16,19,9,0.0
2 5 3 4 0 1 6 7 9 10 11 8 13 14 15 12,euclideanDistance,13,17,9,0.0
2 5 3 4 0 1 6 7 9 10 11 8 13 14 15 12,manhattanDistance,13,17,9,0.0
2 5 3 4 0 1 6 7 9 10 11 8 13 14 15 12,outOfRowAndColumn,13,17,9,0.0
1 2 4 11 5 10 6 3 9 14 8 7 13 15 0 12,misplacedTiles,285,349,15,0.015667200088500977
1 2 4 11 5 10 6 3 9 14 8 7 13 15 0 12,euclideanDistance,41,45,15,0.0
1 2 4 11 5 10 6 3 9 14 8 7 13 15 0 12,manhattanDistance,28,35,15,0.0
1 2 4 11 5 10 6 3 9 14 8 7 13 15 0 12,outOfRowAndColumn,48,59,15,0.0
1 2 3 4 5 6 7 8 13 9 10 0 14 11 15 12,misplacedTiles,19,24,9,0.0
1 2 3 4 5 6 7 8 13 9 10 0 14 11 15 12,euclideanDistance,11,14,9,0.0
1 2 3 4 5 6 7 8 13 9 10 0 14 11 15 12,manhattanDistance,11,14,9,0.0
1 2 3 4 5 6 7 8 13 9 10 0 14 11 15 12,outOfRowAndColumn,15,18,9,0.0
2 3 4 0 1 6 7 8 5 10 11 12 9 13 14 15,misplacedTiles,9,8,9,0.0
2 3 4 0 1 6 7 8 5 10 11 12 9 13 14 15,euclideanDistance,9,8,9,0.0
2 3 4 0 1 6 7 8 5 10 11 12 9 13 14 15,manhattanDistance,9,8,9,0.0
2 3 4 0 1 6 7 8 5 10 11 12 9 13 14 15,outOfRowAndColumn,9,8,9,0.015585660934448242
6 0 3 4 2 9 7 8 1 10 15 11 5 13 14 12,misplacedTiles,321,343,17,0.01609325408935547
6 0 3 4 2 9 7 8 1 10 15 11 5 13 14 12,euclideanDistance,64,69,17,0.0
6 0 3 4 2 9 7 8 1 10 15 11 5 13 14 12,manhattanDistance,64,69,17,0.0
6 0 3 4 2 9 7 8 1 10 15 11 5 13 14 12,outOfRowAndColumn,97,107,17,0.01565265655517578
5 1 2 4 6 3 7 8 9 14 10 12 0 13 11 15,misplacedTiles,52,57,13,0.0
5 1 2 4 6 3 7 8 9 14 10 12 0 13 11 15,euclideanDistance,27,31,13,0.0
